_id,Collection Site,Analyte,Collection Date,Collection Time,Lab Workoder ID,Lab Sample ID,Result,Units,Detection Limit,Result Call,Method,Value Qualifier,Remark Code,_id,NAME,LOCATION,STATUS,FIRST_YR,LAST_YR,TOTAL_YRS,MISS_YRS,LATITUDE,LONGITUDE
67208,12003400102,Lead,11/09/2021,8:40:00,3739,3739003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
67445,12003400102,Lead,03/23/2021,10:15:00,1025,1025003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
35383,12007300302,Lead,08/12/2021,10:50:00,2553,2553009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
35744,12007300302,Lead,04/08/2021,9:40:00,1141,1141009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
36136,12007300302,Lead,05/13/2021,11:00:00,1439,1439009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
36437,12007300302,Lead,06/09/2021,10:45:00,1755,1755009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
36833,12007300302,Lead,07/14/2021,8:30:00,2221,2221009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
37227,12007300302,Lead,09/09/2021,9:35:00,2836,2836009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
37623,12007300302,Lead,10/05/2021,12:00:00,3160,3160009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
38019,12007300302,Lead,11/09/2021,11:30:00,3751,3751009,<7,µg/L,7,BDL,E3497,<,,1120,Raisin River,"1St.Bend Downstream Williamstown, ",A,1976,2020,44,1,45.14449476518,-74.57768260204
35075,12007300802,Lead,08/12/2021,10:00:00,2553,2553002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
35464,12007300802,Lead,04/08/2021,8:55:00,1141,1141002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
35829,12007300802,Lead,05/13/2021,9:10:00,1439,1439002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
36222,12007300802,Lead,06/09/2021,10:00:00,1755,1755002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
36525,12007300802,Lead,07/14/2021,7:45:00,2221,2221002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
36921,12007300802,Lead,09/09/2021,8:50:00,2836,2836002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
37271,12007300802,Lead,10/05/2021,11:21:00,3160,3160001,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
37711,12007300802,Lead,11/09/2021,11:00:00,3751,3751002,<7,µg/L,7,BDL,E3497,<,,1124,Raisin River,"Black Bush Rd,  Dnstrm St. Andrews",A,1976,2020,44,1,45.10992464015,-74.77306310222
35031,12007301102,Lead,08/12/2021,10:20:00,2553,2553001,<7,µg/L,7,BDL,E3497,<,,1127,North Raisin River,"Cemetery Rd,  Upstrm Martintown",A,1976,2020,44,1,45.15010676519,-74.73578522719
35424,12007301102,Lead,04/08/2021,9:15:00,1141,1141001,<7,µg/L,7,BDL,E3497,<,,1127,North Raisin River,"Cemetery Rd,  Upstrm Martintown",A,1976,2020,44,1,45.15010676519,-74.73578522719
